"TITLE","DOI","ONLINEISSN","PRINTISSN","HOME","PUBLISHED"
The TESOL Encyclopedia of English Language Teaching,"10.1002/9781118784235","9781118784235",,HOME CREATED,PUBLISHED
The Blackwell Encyclopedia of Sociology,"10.1002/9781405165518","9781405165518",,HOME CREATED,PUBLISHED
The Encyclopedia of Juvenile Delinquency and Justice,"10.1002/9781118524275","9781118524275",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of English Renaissance Literature,"10.1002/9781118297353","9781118297353",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of the Novel,"10.1002/9781444337815","9781444337815",,HOME CREATED,NOT PUBLISHED
The International Encyclopedia of Intercultural Communication,"10.1002/9781118783665","9781118783665",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Twentieth‐Century Fiction,"10.1002/9781444337822","9781444337822",,HOME CREATED,NOT PUBLISHED
Handbook of Solid State Chemistry,"10.1002/9783527691036","9783527691036",,HOME CREATED,NOT PUBLISHED
The Encyclopedia of Literary and Cultural Theory,"10.1002/9781444337839","9781444337839",,HOME CREATED,NOT PUBLISHED
The Blackwell Companion to Major Classical Social Theorists,"10.1111/b.9781405105941.2003.x","9781405166751",,NO HOME,PUBLISHED
UCL Hospitals Injectable Medicines Administration Guide,"10.1002/9781405189620","9781405189620",,HOME CREATED,NOT PUBLISHED
A Companion to Julius Caesar,"10.1111/b.9781405149235.2009.x","9781405185073",,NO HOME,PUBLISHED
Encyclopedia of Agrochemicals,"10.1002/047126363X","9780471263630",,HOME CREATED,NOT PUBLISHED
Nanotechnology: Online,"10.1002/9783527628155","9783527628155",,HOME CREATED,NOT PUBLISHED
Parenting Handout,"10.1002/0471922021","9780471922025",,HOME CREATED,NOT PUBLISHED
Management of Genetic Syndromes,"10.1002/0471695998","9780471695998",,HOME CREATED,NOT PUBLISHED
Handbook of Statistical Genetics,"10.1002/0470022620","9780470022627",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Bioprocess Technology,"10.1002/0471250589","9780471250586",,NO HOME,NOT PUBLISHED
Encyclopedia of Space Science and Technology,"10.1002/0471263869","9780471263869",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Software Engineering,"10.1002/0471028959","9780471028956",,HOME CREATED,NOT PUBLISHED
Wiley Handbook of Science and Technology for Homeland Security,"10.1002/9780470087923","9780470087923","9780471761303",HOME CREATED,NOT PUBLISHED
"General, Applied and Systems Toxicology","10.1002/9780470744307","9780470744307","9780470723272",HOME CREATED,NOT PUBLISHED
Water Encyclopedia,"10.1002/047147844X","9780471478447",,HOME CREATED,NOT PUBLISHED
Protein Science Encyclopedia: online,"10.1002/9783527610754","9783527610754",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Special Education,"10.1002/9780470373699","9780470373699",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Biostatistics,"10.1002/0470011815","9780470011812","9780470849071",HOME CREATED,NOT PUBLISHED
Encyclopedia of Statistics in Behavioral Science,"10.1002/0470013192","9780470013199",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Quantitative Risk Analysis and Assessment,"10.1002/9780470061596","9780470061596","9780470035498",HOME CREATED,NOT PUBLISHED
Encyclopedia of Quantitative Finance,"10.1002/9780470061602","9780470061602","9780470057568",HOME CREATED,NOT PUBLISHED
Encyclopedia of Hydrological Sciences,"10.1002/0470848944","9780470848944","9780471491033",HOME CREATED,NOT PUBLISHED
Topley & Wilson's Microbiology and Microbial Infections,"10.1002/9780470688618","9780470688618","9780470686386",HOME CREATED,NOT PUBLISHED
Handbook of High?resolution Spectroscopy,"10.1002/9780470749593","9780470749593","9780470066539",HOME CREATED,NOT PUBLISHED
Handbook of Child Psychology,"10.1002/9780470147658","9780470147658",,HOME CREATED,NOT PUBLISHED
Encyclopedia of RF and Microwave Engineering,"10.1002/0471654507","9780471654506",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Bioterrorism Defense,"10.1002/0471686786","9780471686781",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Environmental Microbiology,"10.1002/0471263397","9780471263395",,NO HOME,NOT PUBLISHED
Culture of Animal Cells,"10.1002/9780471747598","9780471747598",,NO HOME,NOT PUBLISHED
Wiley Encyclopedia of Biomedical Engineering,"10.1002/9780471740360","9780471740360",,HOME CREATED,NOT PUBLISHED
Wiley Handbook of Current and Emerging Drug Therapies,"10.1002/9780470041000","9780470041000",,HOME CREATED,NOT PUBLISHED
The Optics Encyclopedia,"10.1002/9783527600441","9783527600441",,HOME CREATED,NOT PUBLISHED
The Handbook of Life?Span Development,"10.1002/9780470880166","9780470880166","9780470390139",HOME CREATED,NOT PUBLISHED
The Homer Encyclopedia,"10.1002/9781444350302","9781444350302","9781405177689",HOME CREATED,NOT PUBLISHED
Handbook of Finance,"10.1002/9780470404324","9780470404324",,HOME CREATED,NOT PUBLISHED
The Wiley?Blackwell History of American Film,"10.1002/9780470671153","9780470671153","9781405179843",HOME CREATED,NOT PUBLISHED
Handbook of Biosensors and Biochips,"10.1002/9780470061565","9780470061565","9780470019054",HOME CREATED,NOT PUBLISHED
Handbook of Plant Biotechnology,"10.1002/0470869143","9780470869147",,HOME CREATED,NOT PUBLISHED
"Encyclopedia of Ethical, Legal and Policy Issues in Biotechnology","10.1002/0471250597","9780471250593",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Cell Technology,"10.1002/0471250570","9780471250579",,NO HOME,NOT PUBLISHED
Encyclopedia of Smart Materials,"10.1002/0471216275","9780471216278",,HOME CREATED,NOT PUBLISHED
Mouse Models of Human Cancer,"10.1002/0471675067","9780471675068",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Inorganic and Bioinorganic Chemistry,"10.1002/9781119951438","9781119951438",,HOME CREATED,PUBLISHED
Encyclopedia of Aerospace Engineering,"10.1002/9780470686652","9780470686652","9780470754405",HOME CREATED,NOT PUBLISHED
Encyclopedia of Analytical Chemistry,"10.1002/9780470027318","9780470027318","9780471976707",HOME CREATED,PUBLISHED
Ullmann's Encyclopedia of Industrial Chemistry,"10.1002/14356007","9783527306732",,HOME CREATED,PUBLISHED
Wiley Encyclopedia of Operations Research and Management Science,"10.1002/9780470400531","9780470400531",,HOME CREATED,NOT PUBLISHED
"Encyclopedia of Industrial Biotechnology: Bioprocess, Bioseparation, and Cell Technology","10.1002/9780470054581","9780470054581","9780471799306",HOME CREATED,NOT PUBLISHED
International Tables for Crystallography,"10.1107/97809553602060000001","9780470685754",,HOME CREATED,PUBLISHED
Handbook of Contemporary Neuropharmacology,"10.1002/9780470101001","9780470101001",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Statistics in Quality and Reliability,"10.1002/9780470061572","9780470061572","9780470018613",HOME CREATED,NOT PUBLISHED
TNM Online,"10.1002/9780471420194","9780471420194",,HOME CREATED,NOT PUBLISHED
Encyclopedia of Cognitive Science,"10.1002/0470018860","9780470018866","9780470016190",HOME CREATED,NOT PUBLISHED
The Encyclopedia of Peace Psychology,"10.1002/9780470672532","9780470672532","9781405196444",HOME CREATED,NOT PUBLISHED
digital Encyclopedia of Applied Physics,"10.1002/3527600434","9783527600434",,HOME CREATED,PUBLISHED
Encyclopedia of Molecular Cell Biology and Molecular Medicine,"10.1002/3527600906","9783527600908",,NO HOME,NOT PUBLISHED
Wiley Encyclopedia of Composites,"10.1002/9781118097298","9781118097298",,HOME CREATED,NOT PUBLISHED
Handbook of Metalloproteins,"10.1002/0470028637","9780470028636","9780470869819",HOME CREATED,NOT PUBLISHED
Compendium of Transgenic Crop Plants,"10.1002/9781405181099","9781405181099","9781405169240",HOME CREATED,NOT PUBLISHED
